2018-05-07 15:52:37,986 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=25
2018-05-07 15:52:37,987 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=1
2018-05-07 15:52:37,987 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=5
2018-05-07 15:52:37,987 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=7
2018-05-07 15:52:37,988 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=1
2018-05-07 15:52:37,988 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=1
2018-05-07 15:52:37,988 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=4
2018-05-07 15:52:37,989 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=1
2018-05-07 15:52:37,989 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=12
2018-05-07 15:52:37,989 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=6
2018-05-07 15:52:37,989 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=1
2018-05-07 15:52:37,990 (7f47faffd700) :  INFO (__init__:501) - Skipping title/year match (doesn't meet percentage threshold): Movies (0) percentage=1
2018-05-07 15:52:37,990 (7f47faffd700) :  INFO (__init__:512) - ---- TMDb RESULTS MAP ----
2018-05-07 15:52:37,991 (7f47faffd700) :  DEBUG (preferences:258) - Loaded preferences from DefaultPrefs.json
2018-05-07 15:52:37,992 (7f47faffd700) :  DEBUG (preferences:178) - Loaded the user preferences for com.plexapp.agents.imdb
2018-05-07 15:52:37,994 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/services/tmdb?uri=%2Fsearch%2Fmovie%3Fquery%3DMovies%26year%3D%26language%3Den%26include_adult%3Dfalse'
2018-05-07 15:52:42,354 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgo0NzQzOTVzNwp0bWRiX2lkcjAK'
2018-05-07 15:52:46,064 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=68, year=2018, id='tt7424200', name='Teen Titans Go! To the Movies')
2018-05-07 15:52:46,065 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgozMjQ1NThzNwp0bWRiX2lkcjAK'
2018-05-07 15:52:48,647 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=48, year=2015, id='tt4461838', name='X-Rated: The Greatest Adult Movies of All-Time')
2018-05-07 15:52:48,648 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgoyMTE2OTdzNwp0bWRiX2lkcjAK'
2018-05-07 15:52:50,842 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=65, year=2012, id='tt2107682', name='Dad Made Dirty Movies')
2018-05-07 15:52:50,844 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgoyMTQ3NThzNwp0bWRiX2lkcjAK'
2018-05-07 15:52:53,075 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=62, year=2014, id='tt2419986', name='Easy Sex, Sad Movies')
2018-05-07 15:52:53,076 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNQo2ODk5NnM3CnRtZGJfaWRyMAo_'
2018-05-07 15:53:13,113 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgozNjU1OTJzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:15,462 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNQozNjg4M3M3CnRtZGJfaWRyMAo_'
2018-05-07 15:53:17,731 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=17, year=2006, id='tt0457414', name='Midnight Movies: From the Margin to the Mainstream')
2018-05-07 15:53:17,732 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgo0NzQyMzdzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:19,914 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=50, year=2017, id='tt6949640', name='Home Movies')
2018-05-07 15:53:19,915 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNQo4MTQ0MnM3CnRtZGJfaWRyMAo_'
2018-05-07 15:53:22,097 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=40, year=2000, id='tt0160403', name='The Independent')
2018-05-07 15:53:22,099 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgo0OTYzMDZzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:24,323 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgozMjI1MjVzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:26,711 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=35, year=2017, id='tt4214198', name='Laddie')
2018-05-07 15:53:26,712 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgoyMzUwNTBzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:29,183 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=27, year=2013, id='tt1942929', name='Italian Movies')
2018-05-07 15:53:29,185 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgo0ODYyNjZzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:31,464 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=15, year=2018, id='tt6908760', name='Tonight, At the Movies')
2018-05-07 15:53:31,465 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgoyMzQ2NTJzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:34,035 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=9, year=2012, id='tt2430084', name='I Heart Monster Movies')
2018-05-07 15:53:34,036 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNAo2OTg0czcKdG1kYl9pZHIwCg__'
2018-05-07 15:53:36,455 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=15, year=1980, id='tt0079302', name='Home Movies')
2018-05-07 15:53:36,457 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNgozNDUyMDFzNwp0bWRiX2lkcjAK'
2018-05-07 15:53:38,732 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/:/plugins/com.plexapp.agents.themoviedb/messaging/function/TWVzc2FnZUtpdDpHZXRJbWRiSWQ_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMQpzNQo4NjY3MXM3CnRtZGJfaWRyMAo_'
2018-05-07 15:53:40,975 (7f47faffd700) :  INFO (__init__:306) - MetadataSearchResult(lang='en', thumb=None, score=5, year=1988, id='tt0094769', name='Blue Movies')
2018-05-07 15:53:40,979 (7f47faffd700) :  INFO (__init__:516) - ---- UMP RESULTS MAP ----
2018-05-07 15:53:40,985 (7f47faffd700) :  DEBUG (networking:166) - Requesting 'http://127.0.0.1:32400/services/ump/matches?type=1&title=Movies&year=&plexHash=557cc5c2aa46ebc5ce33af6e159a007df11a67e1&lang=en&manual=0'
2018-05-07 15:53:48,580 (7f47faffd700) :  ERROR (networking:219) - Error opening URL 'http://127.0.0.1:32400/services/ump/matches?type=1&title=Movies&year=&plexHash=557cc5c2aa46ebc5ce33af6e159a007df11a67e1&lang=en&manual=0'
2018-05-07 15:53:48,580 (7f47faffd700) :  INFO (__init__:518) - Unable to get any results from UMP for Movies, no worries...
2018-05-07 15:53:48,582 (7f47faffd700) :  DEBUG (runtime:88) - Sending packed state data (580 bytes)
2018-05-07 15:53:48,583 (7f47faffd700) :  DEBUG (runtime:924) - Response: [200] str, 4652 bytes
2018-05-07 15:53:48,645 (7f47faffd700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.agents.imdb/messaging/function/X0FnZW50S2l0OlNlYXJjaA__/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoyCmRpY3QKZGljdAo2CnMyCmVuczQKbGFuZ2IwczYKbWFudWFsYjFzNwpwcmltYXJ5aTAKczcKdmVyc2lvbnIxCnM2Cmt3YXJnc3M1Ck1vdmllczEwCm1lZGlhX3R5cGU2CnMxNgphOTU3NTBiNGQ5ODZiZGYzczE3Cm9wZW5TdWJ0aXRsZXNIYXNoczYKTW92aWVzczQKbmFtZXMxMTkKJTJGZGF0YSUyRmZpbGVzJTJGTW92aWVzJTJGNyUyMGpvdXJzJTIwZGUlMjB2b3lhZ2UlMjBzYW5zJTIwYXJnZW50JTIwZW4lMjBFdXJvcGUlMjAobWVyY3JlZGklMjAxOEgwMCktNDRmSVk0VkpJTm8lMkVta3ZzOApmaWxlbmFtZXM0MAo1NTdjYzVjMmFhNDZlYmM1Y2UzM2FmNmUxNTlhMDA3ZGYxMWE2N2UxczgKcGxleEhhc2hzNQo1MzgyMXM4CmR1cmF0aW9uczEKMXMyCmlkcjAK
2018-05-07 15:53:48,646 (7f47faffd700) :  DEBUG (runtime:49) - Received packed state data (556 bytes)
